Original_id,Tag,Question,Answer,Source
11, General FAQs ,what are the precautions that i should take while filling up the tax payment challan,", While making payment of tax, apart from other things, one should clearly mention following , Head of payment, n , i.e. , , Corporation Tax Income tax other than companies , Amount and mode of payment of tax , xa0Type of payment , i.e., , Advance tax Self assessment tax Tax on regular assessment Tax on Dividend Tax on distributed Income to Unit holders Surtax , xa0Assessment year , The unique identification number called as PAN Permanent Account Number allotted by the IT Department.",Original
12, General FAQs ,do i need to insist on some proof of payment from the banker to whom i have submitted the challan,"The counter foil of the Income tax Challan filled by taxpayers, should be stamped and returned by the bank. Please ensure that the bank stamp contains BSR Bankers Serial number code , Challan Identification Number CIN and the date of payment.",Original
13, General FAQs ,how can i know that the government has received the amount deposited by me as taxes in the bank,"The NSDL website , http w...content available to author only...w.tin ns dl.com , provides online services called as Challan Status Enquiry. You can also check your tax credit by viewing your n , Form 26AS , from your e filing account at n , www.incometaxindiaefiling.gov.in , , n , Form 26AS , will also disclose the credit of TDS TCS in your account.",Original
14, General FAQs ,what should i do if my tax payment particulars are not found against my name in the website,"The possible reasons for no credit being displayed in your n , Form 26AS , can be , Deductor collector has not filed his TDS TCS statement , You have not provided PAN to the deductor collector , You have provided incorrect PAN to the deductor collector , The deductor collector has made an error in quoting your PAN in the TDS TCS return , The deductor collector has not quoted your PAN , The details of challan against which your TDS TCS was deposited was wrongly quoted in the statement by the deductor or wrongly quoted in the challan details uploaded by the bank. , To rectify these errors you may request the deductor , to file a TDS TCS statement if it has not been filed , to rectify the PAN using a PAN correction statement in the TDS TCS statement that has been already uploaded if it has made an error in the PAN quoted , to furnish a correction statement if the deductor had filed a TDS TCS statement and had inadvertently missed providing your details or you had not given your PAN to him before he filed the TDS TCS return , to furnish a correction statement if the deductor had filed a TDS TCS statement which had mistake in the challan details , to take up with the bank to rectify any mistake in the amount in the challan details uploaded by the bank.",Original
15, General FAQs ,is my responsibility under the income tax act over once taxes are paid,"No, you are thereafter responsible for ensuring that the tax credits are available in your tax credit statement and TDS TCS certificates received by you and that full particulars of income and tax payment are submitted to the Income tax Department in the form of Return of Income which is to be filed before the due date prescribed in this regard.",Original
16, General FAQs ,who is an assessing officer,"He She is an officer of the Income tax Department who has been given jurisdiction over a particular geographical area in a city town or over a class of persons. You can find out from the PRO or from the Departmental website http w...content available to author only...v.in about the officer administering the law which could be based on your geographical jurisdiction or the nature of income earned by you. One can also before section n , section 2 7A , of Income tax Act. ,",Original
17, General FAQs ,income tax is levied on the income of every person as per income tax law what constitutes income,", Under the Income tax Law, the word income has a very broad and inclusive meaning. In case of a salaried person all that is received from an employer in cash, kind or as a facility is considered as an income. For a businessman his net profit will constitute his income. Income may also flow from investments in the form of Interest, Dividend, Commission, etc. Further, income may be earned on account of sale of capital assets like building, gold, etc. , Income shall be computed as per relevant provision of Income tax Act, 1961 which lays down detail condition for computation of income chargeable to tax under various heads of income",Original
18, General FAQs ,what is exempt income and taxable income,", An exempt income is not charged to tax, n , i.e., , Income tax Law specifically grants exemption from tax to such income. Incomes which are chargeable to tax are called as taxable incomes.",Original
19, General FAQs ,what is revenue receipt and capital receipt,", Receipts can be classified into two kinds A Revenue receipt, B Capital receipt. , Revenue receipts are recurring in nature like salary, profit from business, interest income, etc. , Capital receipts are generally of isolated nature like receipt on account of sale of residential building, personal jewellery, etc. xa0",Original
20, General FAQs ,are all receipts i e capital and revenue receipts charged to tax,", The general rule under the Income tax Law is that all revenue receipts are taxable, unless they are specifically granted exemption from tax and all capital receipts are exempt from tax, unless there is a specific provision for taxing them.",Original
21, General FAQs ,i am an agriculturist is my income taxable,"Agricultural income is not taxable. However, if you have non agricultural income too, then while calculating tax on non agricultural income, your agricultural income will be taken into account for rate purpose. For meaning of Agricultural Income refer xa0 , section 2 IA , of the Income tax Act.",Original
22, General FAQs ,under the income tax law is income from animal husbandry considered as an agricultural income,No.,Original
23, General FAQs ,do i need to maintain any records or proof of earnings,"For every source of income you have to maintain proof of earning and the records specified under the Income tax Act. In case no such records are prescribed, you should maintain reasonable records with which you can support the claim of income.",Original
24, General FAQs ,as an agriculturist am i required to maintain any proof of earnings and expenditures incurred,"Even if you have only agricultural income, you are advised to maintain some proof of your agricultural earnings expenses.",Original
25, General FAQs ,if i win a lottery or prize money in a competition am i required to pay income tax on it,"Yes, such winnings are liable to flat rate of tax at 30 without any basic exemption limit. In such a case the payer of prize money will generally deduct tax at source i.e., TDS from the winnings and will pay you only the balance amount.",Original
26, General FAQs ,if my income is taxed in india as well as abroad can i claim any sort of relief on account of double taxation,", Yes, you can claim relief in respect of income which is charged to tax both in India as well as abroad. Relief is either granted as per the provisions of double taxation avoidance agreement entered into with that country if any by the Government of India or by allowing relief as per n , section 91 , of the Act in respect of tax paid in the foreign country.",Original
27, General FAQs ,what does profession mean,"Profession means exploitation of one s skills and knowledge independently. Profession includes vocation. Some examples are legal, medical, engineering, architecture, accountancy, technical consultancy, interior decoration, artists, writers, etc.",Original
28, General FAQs ,what books of account have been prescribed to be maintained by a person carrying on business profession under the income tax act,"The Income tax Act does not prescribe any specific books of account for a person engaged in business or in non specified profession. However, such a person is expected to keep and maintain such book of account and other documents as may enable the Assessing Officer to compute his total income in accordance with the provisions of the Act, if  . , n , Particulars , n , Individual or HUF , n , Any other assessee , n , In case of existing business or profession, , income or gross turnover in any one of the 3 preceding previous years exceeds the following  , Income from business or profession , Turnover gross receipts in the business or profession , xa0 , xa0 , xa0 , Rs. 2,50,000 , Rs. 25,00,000 , xa0 , xa0 , xa0 , Rs. 1,20,000 , Rs. 10,00,000 , n , In case of newly setup business or profession, , income or gross turnover of the first previous year is likely to exceed the following  , Income from business or profession , Turnover gross receipts in the business or profession , xa0 , xa0 , xa0 , Rs. 2,50,000 , Rs. 25,00,000 , xa0 , xa0 , xa0 , Rs. 1,20,000 , xa0 , Rs. 10,00,000 , n , n , For companies the books of account are prescribed under the Companies Act. Further, the Institute of Chartered Accountants of India has prescribed various Accounting Standards and Guidelines that are required to be followed by the business entities As regards the maintenance of books of account by a professional, who is engaged in specified profession has to maintain certain prescribed books of account, if the annual receipts from the profession exceed Rs. 1,50,000 in all the three years immediately preceding the previous year in case of newly set up profession, his annual receipts in the profession for that year are likely to exceed Rs. 1,50,000 . , Specified profession covers profession of legal, medical, engineering, architectural, accountancy, company secretary, technical consultancy, interior decoration, authorised representative, film artist or information technology. , For more details on the provisions relating to maintenance of books of account you may refer provisions of n , section 44AA , read with n , Rule 6F , of the Income tax Rules, 1962.",Original
29, General FAQs ,where should the books of account of business be kept and for how long,"All the books of account and related documents should be kept at the principal place xa0of business, n , i.e. , , where the business or profession is generally carried on. These documents should be preserved for a minimum of six years from the end of relevant Assessment year i.e. for a total of 7 financial year from the end of relevant year. However, when the assessment has been reopened, all books of account and other documents which were kept and maintained at the time of reopening of assessment should continue to be so kept and maintained till the assessment so reopened has been completed.",Original
30, General FAQs ,how to check status of aadhaar pan linking i have submitted request for linking aadhaar with pan how to check status is there any way to check whether aadhaar is linked with pan or not,"You can check your Aadhaar PAN Linking status from the following link n , https w...content available to author only...v.in e FilingGS Services AadhaarPreloginStatus.html , n",Original
31, General FAQs ,my name is not updated as per nsdl website my name is different in pan and in the income tax data what should i do my pan shows correct date of birth but wrong in income tax portal what can i do,"In case of mismatch in details as per PAN and the income tax portal , an assesee may file grievance. Click here , https w...content available to author only...v.in Pages tax services pan grievances.aspx , for steps for filing grievance related to PAN.",Original
32, General FAQs ,please give me email of income tax ombudsman please provide the email id of income tax ombudsman,"Please see the following link to check the list of Email Id of income tax ombudsman n , https w...content available to author only...v.in Pages ombudsman know your ombudsman.aspx ,",Original
33, FAQs on Computation of Tax ,when do i have to pay the taxes on my income,"The taxes on income can be finalized only on the completion of the previous year. However, to enable a regular flow of funds and for easing the process of collection of taxes, Income tax Act has provisions for payment of xa0taxes in xa0advance xa0during the year of earning itself or before completion of previous year. It is also known as Pay as your earn concept. , Taxes are collected by the Government through the following means , Voluntary payment by xa0taxpayers into various designated Banks such as Advance tax, Self Assessment tax, etc. , xa0Taxes deducted at source xa0 , xa0Taxes collected at source xa0",Original
34, FAQs on Computation of Tax ,under how many heads the income of a taxpayer is classified,"xa0 , n , S ection 14 , of the Income tax Act has classified the income of a taxpayer under five different heads of income, n , viz. , Salaries , Income from house property , Profits and gains of business or profession , Capital gains , Income from other sources , n",Original
35, FAQs on Computation of Tax ,what is gross total income,Total income of a taxpayer from all the heads of income as discussed in previous FAQ is referred to as Gross Total Income.,Original
36, FAQs on Computation of Tax ,what is the difference between gross total income and total income,", n , n , Total Income is the income on which tax liability is determined , . , xa0It is necessary to compute total income to ascertain tax liability xa0 , .Section 8 0C , to n , 80U , provides certain deductions which can be claimed from Gross Total Income GTI . After claiming these deductions from GTI, the income remaining is called as xa0Total Income. , , In other words, GTI n , less , Deductions under n , section 80C , to n , 80U , Total Income TI . Total income can also be understood as taxable income. Following table gives a better understanding of the difference between GTI and TI , xa0 , n , Computation of gross total income and Taxable Income , n , Particulars , n , Amount , Income from salary , XXXXX , Income from house property , XXXXX , Profits and gains of business or profession , XXXXX , Capital gains , XXXXX , Income from other sources , n , XXXXX , n , Gross Total Income , n , XXXXX , n , Less , Deductions under Chapter VI A , i.e. , under n , s ection 80C , to , 80U , , n , XXXXX , n , Total Income i.e., taxable income , n , XXXXX , n , Note , Inter source losses, inter head losses, brought forward losses, unabsorbed depreciation, etc., if any will have to be adjusted as per the Income tax Law while computing the gross total income. xa0",Original
37, FAQs on Computation of Tax ,how to round off total income before computing tax liability,"As per n , section 288A , , total income computed in accordance with the provisions of the Income tax Law, shall be rounded off to the nearest multiple of ten. Following points should be kept in mind while rounding off the total income , First any part of rupee consisting of any paisa should be ignored. , After ignoring paisa, if such amount is not in multiples of ten, and last figure in that amount is five or more, the amount shall be increased to the next higher amount which is in multiple of ten and if the last figure is less than five, the amount shall be reduced to the next lower amount which is in multiple of ten and the amount so rounded off shall be deemed to be the total income of the taxpayer. , n , n , Illustration for better understanding , If the taxable income of Mr. Keshav is Rs. 2,52,844.99, then first paisa shall be ignored, n , i.e., , 0.99 paisa shall be ignored and xa0the remaining amount of Rs. 2,52,844 shall be rounded off to Rs. 2,52,840 since last figure is less than five . If the total income is Rs. 2,52,845 or Rs. 2,52,846.01, then it shall be rounded off to Rs. 2,52,850 since the last figure is five or above . , n , n",Original
38, FAQs on Computation of Tax ,can i claim deduction for my personal and household expenditure while calculating my taxable income or profit,", No, you cannot claim deduction of personal expenses while computing the taxable income. , While computing income under various heads, deduction can be claimed only for those expenses which are provided under the Income tax Act.",Original
39, FAQs on Computation of Tax ,most of my income is given away in charity and i am left with just enough money to meet my personal requirements what will be considered as my income,"What is done after the income is earned by you will not give you tax exemption. However, contribution to approved institutions will give you the benefit of deduction from taxable income under n , section 80G , subject to limits specified therein.",Original
40, FAQs on Computation of Tax ,my daughter stays in usa she owns a house in india and has let it out she has asked tenants to pay rent to me she has not received any rent is she still liable to tax what if she transfers the house to me,"Rental income is charged to tax in the hands of the owner of the property. Your daughter is the owner of the house and, therefore, she is liable to pay tax, even though you receive rent. If the house is transferred to you, then you will become the owner and you will have to pay Income tax on the rental income.",Original
41, FAQs on Computation of Tax ,is there any limit of income below which i need not pay tax,"At this moment i.e., for the financial year 2017 18 Individual, HUF, AOP, and BOI having income below Rs. 2,50,000 need not pay any Income tax. In respect of resident individuals of the age of 60 years and above but below 80 years, the basic exemption limit is Rs. 3,00,000 and in respect of resident individuals of 80 years and above, the limit is Rs. 5,00,000. For other categories of persons such as co operative societies, firms, companies and local authorities, no basic exemption limit exists and, hence, they have to pay taxes on their entire income chargeable to tax.",Original
42, FAQs on Computation of Tax ,how to compute the total tax liability,"After ascertaining the total income, n , i.e., , income liable to tax, the next step is to compute the tax liability for the year. Tax liability is to be computed by applying the rates prescribed in this regard. xa0Following table will help in understanding the manner of computation of the total tax liability of the taxpayer. , xa0 , n , Computation of total income and tax liability for the year , n , n , Particulars , n , Amount , Income from salary , XXXXX , Income from house property , XXXXX , Profits and gains of business or profession , XXXXX , Capital gains , XXXXX , Income from other sources , n , XXXXX , n , Gross Total Income , n , XXXXX , n , Less , Deductions under Chapter VI A , i.e., , under n , section 80C , to n , 80U , , n , XXXXX , n , Total Income i.e., taxable income , n , XXXXX , Tax on total income to be computed at the applicable rates for rates of tax, refer Tax Rate section , XXXXX , n , Less , , Rebate under n , section 87A , discussed in later FAQ , n , XXXXX , n , Tax Liability After Rebate , XXXXX , n , Add , Surcharge discussed in later FAQ , n , XXXXX , n , Tax Liability After Surcharge , XXXXX , n , Add , Health Education cess 4 on tax liability after surcharge , XXXXX , n , Tax liability before rebate under n , sections 86 , , section 87A n , section 89 , , n , sections 90 , , n , 90A , and n , 91 , if any , XXXXX , n , Less , Rebate under n , sections 86 , , n , section 87A , , xa0 , section 89 , , n , sections 90 , , n , 90A , and n , 91 , if any , n , XXXXX , n , Tax liability for the year before pre paid taxes , XXXXX , n , Less , Prepaid taxes in the form of TDS, TCS and advance tax , n , XXXXX , n , Tax payable Refundable , XXXXX , Rebate under n , section 86 , is available to a member of association of persons AOP or body of individuals BOI in respect of income received by such member from the AOP BOI. , Rebate , i.e., , relief under n , section 89 , is available to a salaried employee in respect of sum received towards arrears of salary, gratuity, etc. , Rebate under n , sections 90 , , n , 90A , and n , 91 , is available to a taxpayer in respect of double taxed income, n , i.e., , income which is taxed in India as well as abroad. , n , n , Note , For provisions relating to Minimum Alternate Tax MAT in case of corporate taxpayers and Alternate Minimum Tax AMT xa0 in case of non corporate taxpayers refer tutorial on MAT AMT . xa0",Original
43, FAQs on Computation of Tax ,how to round off the tax liability,"As per n , section 288B , , tax payable by the taxpayer or tax refundable to the taxpayer shall be rounded off to the nearest multiple of ten, following points should be kept in mind while rounding off the tax , First any part of rupee consisting of any paisa should be ignored. , After ignoring paisa, if such amount is not a multiples of ten, and the last figure in that amount is five or more, the amount shall be increased to the next higher amount which is a multiple of ten and if the last figure is less than five, the amount shall be reduced to the next lower amount which is a multiple of ten and the amount so rounded off shall be deemed to be the tax payable by the taxpayer or refundab le to the taxpayer. , n , Illustration for better understanding , If the tax liability or refund due to Mr. Keshav is Rs. 2,52,844.99, then first paisa shall be ignored, , i.e., , 0.99 paisa shall be ignored xa0 and the xa0 remaining amount of Rs. 2,52,844 shall be rounded off to Rs. 2,52,840 since last figure is less than five . If the tax liability or refund due is Rs. 2,52,845 or Rs. 2,52,846.01, then it shall be rounded off to Rs. 2,52,850 since the last figure is five or above .",Original
44, FAQs on Computation of Tax ,what is rebate under section 87a for f y 2017 18 and who can claim it,", An individual who is resident in India and whose total income does not exceed Rs. 5,00,000 is entitled to claim rebate under n , section 87A , . Rebate under n , section 87A , is available in the form of deduction from the tax liability. Rebate under n , section 87A , will be lower of 100 of income tax liability or Rs. 12,500. In other words, if the tax liability exceeds Rs. 12,500, rebate will be available to the extent of Rs. 12,500 only and no rebate will be available if the total income , i.e. , taxable income exceeds Rs. 5,00,000.",Original
45, FAQs on Computation of Tax ,can a partnership firm or huf claim rebate under section 87a,"Rebate under n , section 87A , is available only to an individual, hence, any person other than an individual cannot claim rebate under n , section 87A , .",Original
46, FAQs on Computation of Tax ,can a non resident claim rebate under section 87a,"Rebate under n , section 87A , is available only to an individual who is resident in India, hence, non residents cannot claim rebate under n , section 87A , .",Original
47, FAQs on Computation of Tax ,what is surcharge and how it is computed,"Surcharge n is an additional tax levied on the amount of income tax. In case of nindividuals HUF AOP BOI artificial juridical person, surcharge is levied n 10 on the amount of income tax where the total income of the ntaxpayer exceeds Rs. 50 lakh but doesn t exceeds Rs. 1 crore. , Surcharge is levied 15 of income tax where the total income of the taxpayer exceeds Rs. 1 crore n , , . , In case of Firm, co operative society and local authority surcharge is levied at 12 if total income exceeds Rs 1 crore. , In n case of a domestic company surcharge is levied 7 on the amount of nincome tax if the total income exceeds Rs. 1 crore but does not exceed nRs. 10 crore and 12 on the amount of income tax if total income nexceeds Rs. 10 crore n , , . , In ncase of a foreign company surcharge is levied 2 on the amount of nincome tax if the total income exceeds Rs. 1 crore but does not exceed nRs. 10 crore and 5 on the amount of income tax if total income nexceeds Rs. 10 crore n , , . , A taxpayer can claim nmarginal relief from the amount of surcharge, subject to certain nconditions. Refer to next FAQ for concept of marginal relief. , n , Illustration for better understanding , Mr. n Kapoor is a doctor, his total income for the year amounted to Rs. n44,00,000. Will he be liable to pay surcharge, if yes, then how much? , , Surcharge n is additional tax levied on the amount of income tax. In case of nindividuals surcharge is levied 10 on the amount of income tax where n the total income of the taxpayer exceeds Rs. 50 lakh. In this case, ntotal income of Mr. Kapoor is below Rs. 50 lakh, hence, he will not be nliable to pay surcharge. xa0",Original
48, FAQs on Computation of Tax ,what is marginal relief and how it is computed,"n , The concept of marginal relief is designed to provide relaxation from levy of surcharge to a taxpayer where the total income exceeds marginally above Rs. 50 lakh, Rs. 1 crore or Rs. 10 crore, as the case may be. , n , Thus, while computing surcharge, in case of taxpayers i.e. Individuals HUF AOP BOI artificial juridical person having total income of more than Rs. 50 lakh marginal relief shall be available in such a manner that the net amount payable as income tax and surcharge shall not exceed the total amount payable as income tax on total income of Rs. 50 lakh by more than the amount of income that exceeds Rs. 50 lakh. , n , In case of a company, surcharge is levied 7 2 in case of foreign company on the amount of income tax if the total income exceeds Rs. 1 crore but does not exceed Rs. 10 crore and 12 5 in case of foreign company on the amount of income tax if total income exceeds Rs. 10 crore. Hence, in case of company whose total income exceeds Rs. 1 crore but does not exceeds Rs. 10 crore, marginal relief will be computed as discussed above, but in the case of company having total income above Rs. 10 crore marginal relief is available in such a manner that the net amount payable as income tax and surcharge shall not exceed the total amount payable as income tax and surcharge on total income of Rs. 10 crore by more than the amount of income that exceeds Rs. 10 crore. , n , n , n , n , Illustration for better understanding , n , Mr. Mukesh is salaried employee age 40 years . His total income from salary for the year 2019 20 amount to Rs. 51,00,000. Will he liable to pay surcharge, if yes, then how much and will he get the benefit of margin relief? , n , , n , Surcharge is additional tax levied on the amount of income tax. In case of taxpayers i.e. Individuals HUF AOP BOI artificial juridical person , surcharge is levied 10 on the amount of income tax where the total income of the taxpayer exceeds Rs. 50 lakh. In this case, total income of Mr. Mukesh exceeds Rs. 50 lakh and hence he will be liable to pay surcharge. Marginal relief is available in cases where the total income is slightly above Rs. 50 Lakh. The Computation of normal tax liability i.e. liability without marginal relief and tax liability under marginal relief i.e. liability after marginal relief will be as follows , n , 1 xa0 xa0 xa0 Normal tax liability i.e. without marginal relief , n , xa0 , n , xa0 , n , Tax on total income before surcharge , 13,42,500 , Add Surcharge 10 on the amount of income tax of Rs. 13,42,500 , 1,34,250 , Tax liability after surcharge i.e., normal tax liability xa0 , 14,76,750 , n , xa0 , n , The normal tax rates for the financial year 2019 20 applicable to an individual below the age of 60 years are as follows , n , Nil upto income of Rs. 2,50,000 , 5 for income above Rs. 2,50,000 but upto Rs. 5,00,000 , 20 for income above Rs. 5,00,000 but upto Rs. 10,00,000 , 30 for income above Rs. 10,00,000. , xa0 , n , Apart from above rates, cess will be computed separately. , n , xa0 , n , 2 xa0 xa0 xa0 Tax liability under marginal relief i.e. after marginal relief , n , xa0 , n , Tax on Rs. 50 lakh at the above discussed rates , 13,12,500 , Add Income above Rs. 50 lakh , 1,00,000 , Tax liability under marginal relief , 14,12,500 , n , xa0 , n , n , Conclusion , n , Normal tax liability , i.e. , xa0without marginal relief comes to Rs. 14,76,750 and tax liability under marginal relief comes to Rs. 14,12,500. It can be observed that tax liability under marginal relief is lower and, hence, Rs. 14,12,500 will be the tax liability before cess. Total tax liability will be computed as follows , n , xa0 , n , Rs. , Tax liability after marginal relief , 14,12,500 , n , Add xa0 , Health education cess 4 , 56,500 , n , Tax liability , 14,69,000 , n , xa0 , n , In this case, surcharge paid by Mr. Mukesh will be Rs. 70,000 computed as follows , n , xa0 , n , xa0 , n , Rs. , Tax liability before cess on Rs. 51,00,000 after considering the provisions of marginal relief , 14,12,500 , Tax liability before cess at normal rates on Rs. 51,00,000 if surcharge is not levied xa0 , 13,42,500 , Surcharge , i.e. , xa0increase in tax liability , n , 70,000 , n , n , n , n , n , n , n , Illustration for better understanding , n , Mr. Raja is businessman age 35 years . His total income for the year 2019 20 xa0amounted to Rs. 1,02,00,000. Will he be liable to pay surcharge, if yes, then how much and will he get the benefit of marginal relief? , n , , n , Surcharge is additional tax levied on the amount of income tax. In case of taxpayers i.e. Individuals HUF AOP BOI artificial juridical person , surcharge is levied 10 on the amount of income tax where the total income of the taxpayer exceeds Rs. 1 crore. In this case, total income of Mr. Raja exceeds Rs. 1 crore and hence he will be liable to pay surcharge. Marginal relief is available in cases where the total income is slightly above Rs. 1 crore. The Computation of normal tax liability i.e. liability without marginal relief and tax liability under marginal relief i.e. liability after marginal relief will be as follows , n , 1 xa0 xa0 xa0 Normal tax liability i.e. without marginal relief , n , Tax on total income before surcharge , 28,72,500 , Add Surcharge 15 on the amount of income tax of Rs. 28,72,500 , 4,30,875 , Tax liability after surcharge i.e., normal tax liability xa0 , 33,03,375 , n , xa0 , n , The normal tax rates for the financial year 2019 20 applicable to an individual below the age of 60 years are as follows , n , Nil upto income of Rs. 2,50,000 , 5 for income above Rs. 2,50,000 but upto Rs. 5,00,000 , 20 for income above Rs. 5,00,000 but upto Rs. 10,00,000 , 30 for income above Rs. 10,00,000. , xa0 , n , Apart from above rates, cess will be computed separately. , n , xa0 , n , 2 xa0 xa0 xa0 Tax liability under marginal relief i.e. after marginal relief , n , xa0 , n , Tax on Rs. 1 crore at the above discussed rates , 28,12,500 , Add Surcharge on income tax 10 if income is Rs. 1 crore , 2,81,250 , Add Income above Rs. 1 crore , 2,00,000 , Tax liability under marginal relief , 32,93,750 , n , xa0 , n , n , Conclusion , n , Normal tax liability , i.e. , xa0without marginal relief comes to Rs. 33,03,375 and tax liability under marginal relief comes to Rs. 32,93,750. It can be observed that tax liability under marginal relief is lower and, hence, Rs. 32,93,750 will be the tax liability before cess. Total tax liability will be computed as follows , n , xa0 , n , Rs. , Tax liability after marginal relief , 32,93,750 , n , Add xa0 , Health education cess 4 , 1,31,750 , n , Tax liability , 34,25,500 , n , xa0 , n , n , n , Illustration for better understanding , n , Mr. Karan is a businessman age 35 years . His total income for the year 2019 20 xa0amounted to Rs. 1,07,00,000. Will he be liable to pay surcharge, if yes, then how much and will he get the benefit of marginal relief? , n , , n , Surcharge is additional tax levied on the amount of income tax. In case of taxpayers n , i.e. Individuals HUF AOP BOI artificial juridical person , , surcharge is levied 15 on the amount of income tax where the total income of the taxpayer exceeds Rs. 1 crore. In this case, total income of Mr. Karan exceeds Rs. 1 crore and hence he will be liable to pay surcharge. Marginal relief is available in cases where the total income is slightly above Rs. 1 crore. The computation of normal tax liability , i.e. , liability without marginal relief and tax liability under marginal relief , i.e. , liability after marginal relief will be as follows , n , n , xa0 , n , 1 xa0 xa0 xa0 Normal tax liability i.e. without marginal relief , n , Tax on total income before surcharge , 30,22,500 , Add Surcharge 15 on the amount of income tax of Rs. 30,22,500 , 4,53,375 , Tax liability after surcharge i.e., normal tax liability xa0 , 34,75,875 , n , xa0 , n , Tax rates are discussed in previous illustration. , n , 2 xa0 xa0 xa0 Tax liability under marginal relief i.e. after marginal relief , n , xa0 , n , Tax on Rs. 1 crore at the rates discussed in previous illustration , 28,12,500 , Add Income above Rs. 1 crore , 7,00,000 , Tax liability under marginal relief , 35,12,500 , n , xa0 , n , n , Conclusion , n , Normal tax liability , i.e. , xa0without marginal relief comes to Rs. 34,75,875 and tax liability under marginal relief comes to Rs. 35,12,500. It can be observed that normal tax liability i.e. without marginal relief is lower and, hence, Rs. 34,75,875 will be the tax liability before cess. Total tax liability will be computed as follows , n , xa0 , n , Rs. , Normal tax liability i.e. tax liability after surcharge of , xa0 , Rs. 4,53,375 , 34,75,875 , n , Add xa0 , Health education cess 4 , 1,39,035 , n , Tax liability , 36,14,910 , n , n , n",Original
49, FAQs on Computation of Tax ,what is minimum alternate tax,"For details on minimum alternate tax MAT refer to tutorial on n , Minimum Alternate Tax and Alternate Minimum Tax ,",Original
